epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,3998.87,0.62713,1.09293,0.9082,0.72605,0.68901,0.70207,0.60335,0.55785,0.84165,0.8405,0.000181056,0.000181056,0.000181056
74,4052.95,0.63094,1.07404,0.90989,0.71085,0.68633,0.72553,0.62196,0.55074,0.82869,0.84146,0.000178779,0.000178779,0.000178779
75,4107.48,0.65906,1.07496,0.9176,0.68729,0.72553,0.71579,0.61698,0.54951,0.82892,0.83849,0.000176502,0.000176502,0.000176502
76,4162.02,0.63514,1.07626,0.90615,0.67867,0.70377,0.69988,0.60113,0.56207,0.84634,0.83933,0.000174225,0.000174225,0.000174225
77,4216.75,0.6387,1.06214,0.90986,0.73342,0.66442,0.71153,0.60947,0.54453,0.83975,0.83471,0.000171948,0.000171948,0.000171948
78,4271.4,0.61196,1.03332,0.90655,0.6872,0.70178,0.7112,0.61029,0.55231,0.83459,0.83698,0.000169671,0.000169671,0.000169671
79,4326.1,0.62909,1.06531,0.90803,0.69768,0.69517,0.72301,0.6232,0.53936,0.83678,0.83344,0.000167394,0.000167394,0.000167394
80,4381.24,0.62975,1.04684,0.9088,0.69984,0.69477,0.71561,0.6125,0.54726,0.8217,0.83505,0.000165117,0.000165117,0.000165117
81,4435.79,0.64465,1.05007,0.9086,0.67734,0.74676,0.71946,0.62222,0.52675,0.82891,0.83149,0.00016284,0.00016284,0.00016284
82,4490.59,0.62809,1.05836,0.91143,0.68464,0.72637,0.7113,0.61195,0.53767,0.83103,0.83253,0.000160563,0.000160563,0.000160563
83,4545.07,0.62917,1.04152,0.90542,0.72007,0.6986,0.72289,0.62505,0.54053,0.81494,0.83276,0.000158286,0.000158286,0.000158286
84,4599.6,0.61821,1.03887,0.90471,0.7037,0.70112,0.71697,0.62337,0.52755,0.80633,0.83083,0.000156009,0.000156009,0.000156009
85,4654.12,0.6198,1.03065,0.90318,0.67213,0.7333,0.71793,0.62072,0.5226,0.79958,0.82927,0.000153732,0.000153732,0.000153732
86,4708.03,0.63489,1.03272,0.904,0.69917,0.70635,0.71527,0.61568,0.53453,0.81574,0.83032,0.000151455,0.000151455,0.000151455
87,4761.84,0.63075,1.0367,0.90817,0.65423,0.73835,0.71166,0.61226,0.54486,0.82111,0.83006,0.000149178,0.000149178,0.000149178
88,4815.83,0.61599,1.02039,0.90331,0.67731,0.73853,0.72358,0.62355,0.53105,0.79213,0.8296,0.000146901,0.000146901,0.000146901
89,4871.23,0.61314,0.99909,0.90372,0.68783,0.73143,0.71972,0.62166,0.52385,0.80874,0.82774,0.000144624,0.000144624,0.000144624
90,4925.92,0.61776,1.01524,0.9058,0.68843,0.74695,0.73532,0.63474,0.52449,0.76883,0.82885,0.000142347,0.000142347,0.000142347
91,4980.3,0.62447,1.01013,0.90911,0.6692,0.74273,0.72477,0.62557,0.53004,0.78303,0.83088,0.00014007,0.00014007,0.00014007
92,5035.02,0.61592,0.98554,0.90022,0.71042,0.70682,0.7263,0.62268,0.53635,0.79495,0.83349,0.000137793,0.000137793,0.000137793
93,5089.44,0.62217,0.99307,0.90819,0.69111,0.7322,0.72971,0.62763,0.52932,0.81717,0.83294,0.000135516,0.000135516,0.000135516
94,5143.95,0.62294,1.0024,0.90498,0.72126,0.70434,0.72997,0.63018,0.53022,0.79661,0.82964,0.000133239,0.000133239,0.000133239
95,5198.23,0.63199,0.99707,0.90787,0.74545,0.67972,0.72825,0.62884,0.53078,0.7745,0.83278,0.000130962,0.000130962,0.000130962
96,5252.89,0.61504,0.97937,0.9026,0.68097,0.72218,0.72321,0.62135,0.52593,0.79421,0.83079,0.000128685,0.000128685,0.000128685
97,5307.62,0.6076,0.9829,0.90165,0.72824,0.67222,0.72824,0.62713,0.52647,0.7896,0.83034,0.000126408,0.000126408,0.000126408
98,5362.05,0.61308,0.98587,0.90358,0.71073,0.72082,0.74015,0.63544,0.52741,0.75572,0.83005,0.000124131,0.000124131,0.000124131
99,5416.69,0.59925,0.96693,0.89884,0.75426,0.70559,0.74563,0.64478,0.52096,0.74745,0.82856,0.000121854,0.000121854,0.000121854
100,5471.27,0.60686,0.9668,0.90141,0.71881,0.71121,0.73057,0.62843,0.52676,0.78526,0.82855,0.000119577,0.000119577,0.000119577
101,5525.86,0.60347,0.97485,0.89683,0.73155,0.72428,0.74014,0.63871,0.52004,0.78336,0.82926,0.0001173,0.0001173,0.0001173
102,5580.23,0.60142,0.9578,0.90123,0.70661,0.74029,0.73577,0.63715,0.51938,0.76193,0.8292,0.000115023,0.000115023,0.000115023
103,5634.67,0.60523,0.95485,0.89475,0.70153,0.77225,0.74581,0.64362,0.53542,0.72921,0.83075,0.000112746,0.000112746,0.000112746
104,5689.43,0.60606,0.95979,0.90342,0.73242,0.71873,0.74169,0.64087,0.52065,0.76154,0.82703,0.000110469,0.000110469,0.000110469
105,5743.97,0.59845,0.95302,0.90672,0.70988,0.754,0.74578,0.64526,0.51578,0.74636,0.82589,0.000108192,0.000108192,0.000108192
